move_dur,added_mass,target,eff_mass,eff_mass_mean,sum_t2
0.6,2.5,2,5.5947,5.7727,0.81156
0.6,2.5,3,4.1314,4.1514,0.56328
0.6,2.5,4,5.5947,5.5669,0.89676
0.6,2.5,5,4.3494,4.2251,0.67658
0.6,2.5,6,6.032,5.7833,0.81069
0.6,2.5,7,4.2001,4.153,0.56302
0.6,2.5,8,5.5635,5.5662,0.89623
0.65,2.5,1,4.1314,4.22,0.53776
0.65,2.5,2,5.5947,5.7731,0.64427
0.65,2.5,3,4.1314,4.1514,0.44747
0.65,2.5,4,5.5947,5.5669,0.71242
0.65,2.5,5,4.3494,4.2248,0.53752
0.65,2.5,6,6.032,5.7828,0.64403
0.65,2.5,7,4.2001,4.1529,0.44769
0.65,2.5,8,5.5635,5.5662,0.71208
0.7,2.5,1,4.1314,4.2201,0.43148
0.7,2.5,2,5.5947,5.7733,0.51673
0.7,2.5,3,4.1314,4.1514,0.35911
0.7,2.5,4,5.5947,5.5668,0.57165
0.7,2.5,5,4.3494,4.2246,0.43133
0.7,2.5,6,6.032,5.7824,0.51673
0.7,2.5,7,4.2001,4.1528,0.35942
0.7,2.5,8,5.5635,5.5662,0.57145
0.75,2.5,1,4.1314,4.2202,0.35042
0.75,2.5,2,5.5947,5.7735,0.41956
0.75,2.5,3,4.1314,4.1514,0.29172
0.75,2.5,4,5.5947,5.5668,0.46428
0.75,2.5,5,4.3494,4.2245,0.35033
0.75,2.5,6,6.032,5.7821,0.41962
0.75,2.5,7,4.2001,4.1528,0.29199
0.75,2.5,8,5.5635,5.5662,0.46416
0.8,2.5,1,4.1314,4.2203,0.28815
0.8,2.5,2,5.5947,5.7738,0.34497
0.8,2.5,3,4.1314,4.1514,0.23995
0.8,2.5,4,5.5947,5.5667,0.3818
0.8,2.5,5,4.3494,4.2243,0.28811
0.8,2.5,6,6.032,5.7817,0.34504
0.8,2.5,7,4.2001,4.1527,0.24015
0.8,2.5,8,5.5635,5.5662,0.38173
0.85,2.5,1,4.1314,4.2204,0.23977
0.85,2.5,2,5.5947,5.7739,0.28703
0.85,2.5,3,4.1314,4.1515,0.19971
0.85,2.5,4,5.5947,5.5667,0.3177
0.85,2.5,5,4.3494,4.2242,0.23975
0.85,2.5,6,6.032,5.7815,0.28709
0.85,2.5,7,4.2001,4.1526,0.19984
0.85,2.5,8,5.5635,5.5662,0.31766
0.9,2.5,1,4.1314,4.2205,0.20168
0.9,2.5,2,5.5947,5.7741,0.24143
0.9,2.5,3,4.1314,4.1515,0.16801
0.9,2.5,4,5.5947,5.5667,0.26723
0.9,2.5,5,4.3494,4.224,0.20167
0.9,2.5,6,6.032,5.7812,0.24147
0.9,2.5,7,4.2001,4.1526,0.16809
0.9,2.5,8,5.5635,5.5662,0.26721
0.95,2.5,1,4.1314,4.2205,0.17129
0.95,2.5,2,5.5947,5.7742,0.20505
0.95,2.5,3,4.1314,4.1515,0.14271
0.95,2.5,4,5.5947,5.5666,0.22697
0.95,2.5,5,4.3494,4.2239,0.17128
0.95,2.5,6,6.032,5.781,0.20507
0.95,2.5,7,4.2001,4.1526,0.14276
0.95,2.5,8,5.5635,5.5662,0.22695
1,2.5,1,4.1314,4.2206,0.14675
1,2.5,2,5.5947,5.7744,0.17567
1,2.5,3,4.1314,4.1515,0.12227
1,2.5,4,5.5947,5.5666,0.19444
1,2.5,5,4.3494,4.2238,0.14674
1,2.5,6,6.032,5.7808,0.17568
1,2.5,7,4.2001,4.1525,0.1223
1,2.5,8,5.5635,5.5662,0.19444
1.05,2.5,1,4.1314,4.2207,0.1267
1.05,2.5,2,5.5947,5.7745,0.15166
1.05,2.5,3,4.1314,4.1515,0.10557
1.05,2.5,4,5.5947,5.5666,0.16788
1.05,2.5,5,4.3494,4.2237,0.12669
1.05,2.5,6,6.032,5.7806,0.15167
1.05,2.5,7,4.2001,4.1525,0.10559
1.05,2.5,8,5.5635,5.5662,0.16787
1.1,2.5,1,4.1314,4.2207,0.11015
1.1,2.5,2,5.5947,5.7746,0.13186
1.1,2.5,3,4.1314,4.1515,0.09179
1.1,2.5,4,5.5947,5.5666,0.14595
1.1,2.5,5,4.3494,4.2236,0.11015
1.1,2.5,6,6.032,5.7804,0.13187
1.1,2.5,7,4.2001,4.1524,0.0918
1.1,2.5,8,5.5635,5.5662,0.14595
1.15,2.5,1,4.1314,4.2208,0.096374
1.15,2.5,2,5.5947,5.7747,0.11537
1.15,2.5,3,4.1314,4.1515,0.080313
1.15,2.5,4,5.5947,5.5666,0.1277
1.15,2.5,5,4.3494,4.2236,0.096374
1.15,2.5,6,6.032,5.7803,0.11537
1.15,2.5,7,4.2001,4.1524,0.080318
1.15,2.5,8,5.5635,5.5662,0.1277
1.2,2.5,1,4.1314,4.2208,0.084808
1.2,2.5,2,5.5947,5.7748,0.10152
1.2,2.5,3,4.1314,4.1515,0.070675
1.2,2.5,4,5.5947,5.5665,0.11237
1.2,2.5,5,4.3494,4.2235,0.084808
1.2,2.5,6,6.032,5.7801,0.10152
1.2,2.5,7,4.2001,4.1524,0.070679
1.2,2.5,8,5.5635,5.5662,0.11237
1.25,2.5,1,4.1314,4.2209,0.075024
1.25,2.5,2,5.5947,5.7749,0.08981
1.25,2.5,3,4.1314,4.1515,0.062522
1.25,2.5,4,5.5947,5.5665,0.09941
1.25,2.5,5,4.3494,4.2234,0.075024
1.25,2.5,6,6.032,5.78,0.089811
1.25,2.5,7,4.2001,4.1524,0.062524
1.25,2.5,8,5.5635,5.5662,0.099409
1.3,2.5,1,4.1314,4.2209,0.06669
1.3,2.5,2,5.5947,5.7749,0.079834
1.3,2.5,3,4.1314,4.1516,0.055578
1.3,2.5,4,5.5947,5.5665,0.088367
1.3,2.5,5,4.3494,4.2234,0.06669
1.3,2.5,6,6.032,5.7799,0.079834
1.3,2.5,7,4.2001,4.1523,0.055579
1.3,2.5,8,5.5635,5.5662,0.088367
1.35,2.5,1,4.1314,4.2209,0.059548
1.35,2.5,2,5.5947,5.775,0.071284
1.35,2.5,3,4.1314,4.1516,0.049626
1.35,2.5,4,5.5947,5.5665,0.078903
1.35,2.5,5,4.3494,4.2233,0.059548
1.35,2.5,6,6.032,5.7798,0.071284
1.35,2.5,7,4.2001,4.1523,0.049627
1.35,2.5,8,5.5635,5.5662,0.078903
1.4,2.5,1,4.1314,4.221,0.053391
1.4,2.5,2,5.5947,5.7751,0.063913
1.4,2.5,3,4.1314,4.1516,0.044495
1.4,2.5,4,5.5947,5.5665,0.070745
1.4,2.5,5,4.3494,4.2233,0.053391
1.4,2.5,6,6.032,5.7797,0.063913
1.4,2.5,7,4.2001,4.1523,0.044496
1.4,2.5,8,5.5635,5.5662,0.070745
1.45,2.5,1,4.1314,4.221,0.048055
1.45,2.5,2,5.5947,5.7751,0.057525
1.45,2.5,3,4.1314,4.1516,0.040048
1.45,2.5,4,5.5947,5.5665,0.063674
1.45,2.5,5,4.3494,4.2232,0.048055
1.45,2.5,6,6.032,5.7796,0.057525
1.45,2.5,7,4.2001,4.1523,0.040048
1.45,2.5,8,5.5635,5.5662,0.063674
1.5,2.5,1,4.1314,4.221,0.043407
1.5,2.5,2,5.5947,5.7752,0.051961
1.5,2.5,3,4.1314,4.1516,0.036175
1.5,2.5,4,5.5947,5.5665,0.057515
1.5,2.5,5,4.3494,4.2232,0.043407
1.5,2.5,6,6.032,5.7795,0.051961
1.5,2.5,7,4.2001,4.1523,0.036175
1.5,2.5,8,5.5635,5.5662,0.057515
1.55,2.5,1,4.1314,4.221,0.039339
1.55,2.5,2,5.5947,5.7752,0.047092
1.55,2.5,3,4.1314,4.1516,0.032785
1.55,2.5,4,5.5947,5.5665,0.052126
1.55,2.5,5,4.3494,4.2231,0.039339
1.55,2.5,6,6.032,5.7794,0.047092
1.55,2.5,7,4.2001,4.1522,0.032785
1.55,2.5,8,5.5635,5.5662,0.052126
1.6,2.5,1,4.1314,4.2211,0.035765
1.6,2.5,2,5.5947,5.7753,0.042813
1.6,2.5,3,4.1314,4.1516,0.029806
1.6,2.5,4,5.5947,5.5664,0.04739
1.6,2.5,5,4.3494,4.2231,0.035765
1.6,2.5,6,6.032,5.7793,0.042813
1.6,2.5,7,4.2001,4.1522,0.029806
1.6,2.5,8,5.5635,5.5662,0.04739
1.65,2.5,1,4.1314,4.2211,0.032611
1.65,2.5,2,5.5947,5.7753,0.039038
1.65,2.5,3,4.1314,4.1516,0.027178
1.65,2.5,4,5.5947,5.5664,0.043211
1.65,2.5,5,4.3494,4.223,0.032611
1.65,2.5,6,6.032,5.7793,0.039038
1.65,2.5,7,4.2001,4.1522,0.027178
1.65,2.5,8,5.5635,5.5662,0.043211
1.7,2.5,1,4.1314,4.2211,0.029817
1.7,2.5,2,5.5947,5.7754,0.035693
1.7,2.5,3,4.1314,4.1516,0.024849
1.7,2.5,4,5.5947,5.5664,0.039509
1.7,2.5,5,4.3494,4.223,0.029817
1.7,2.5,6,6.032,5.7792,0.035693
1.7,2.5,7,4.2001,4.1522,0.024849
1.7,2.5,8,5.5635,5.5662,0.039509
1.75,2.5,1,4.1314,4.2211,0.027334
1.75,2.5,2,5.5947,5.7754,0.03272
1.75,2.5,3,4.1314,4.1516,0.02278
1.75,2.5,4,5.5947,5.5664,0.036218
1.75,2.5,5,4.3494,4.223,0.027334
1.75,2.5,6,6.032,5.7791,0.03272
1.75,2.5,7,4.2001,4.1522,0.02278
1.75,2.5,8,5.5635,5.5662,0.036218
1.8,2.5,1,4.1314,4.2212,0.025118
1.8,2.5,2,5.5947,5.7755,0.030068
1.8,2.5,3,4.1314,4.1516,0.020933
1.8,2.5,4,5.5947,5.5664,0.033283
1.8,2.5,5,4.3494,4.223,0.025118
1.8,2.5,6,6.032,5.7791,0.030068
1.8,2.5,7,4.2001,4.1522,0.020933
1.8,2.5,8,5.5635,5.5662,0.033283
1.85,2.5,1,4.1314,4.2212,0.023136
1.85,2.5,2,5.5947,5.7755,0.027696
1.85,2.5,3,4.1314,4.1516,0.019282
1.85,2.5,4,5.5947,5.5664,0.030656
1.85,2.5,5,4.3494,4.2229,0.023136
1.85,2.5,6,6.032,5.779,0.027696
1.85,2.5,7,4.2001,4.1522,0.019282
1.85,2.5,8,5.5635,5.5662,0.030656
1.9,2.5,1,4.1314,4.2212,0.021357
1.9,2.5,2,5.5947,5.7755,0.025566
1.9,2.5,3,4.1314,4.1516,0.017799
1.9,2.5,4,5.5947,5.5664,0.028299
1.9,2.5,5,4.3494,4.2229,0.021357
1.9,2.5,6,6.032,5.7789,0.025566
1.9,2.5,7,4.2001,4.1521,0.017799
1.9,2.5,8,5.5635,5.5662,0.028299
1.95,2.5,1,4.1314,4.2212,0.019756
1.95,2.5,2,5.5947,5.7756,0.023649
1.95,2.5,3,4.1314,4.1516,0.016465
1.95,2.5,4,5.5947,5.5664,0.026178
1.95,2.5,5,4.3494,4.2229,0.019756
1.95,2.5,6,6.032,5.7789,0.023649
1.95,2.5,7,4.2001,4.1521,0.016465
1.95,2.5,8,5.5635,5.5662,0.026178
2,2.5,1,4.1314,4.2212,0.018311
2,2.5,2,5.5947,5.7756,0.02192
2,2.5,3,4.1314,4.1516,0.01526
2,2.5,4,5.5947,5.5664,0.024263
2,2.5,5,4.3494,4.2228,0.018311
2,2.5,6,6.032,5.7788,0.02192
2,2.5,7,4.2001,4.1521,0.01526
2,2.5,8,5.5635,5.5662,0.024263
0.3,3,1,4.6431,4.7333,1.6637
0.3,3,2,6.1164,6.2979,2.0307
0.3,3,3,4.6431,4.6584,1.4202
0.3,3,4,6.1164,6.0851,2.2058
0.3,3,5,4.8691,4.7439,1.6583
0.3,3,6,6.571,6.3192,1.9566
0.3,3,7,4.7026,4.6612,1.339
0.3,3,8,6.0768,6.0833,2.196
0.35,3,1,4.6431,4.7339,1.7838
0.35,3,2,6.1164,6.299,2.1648
0.35,3,3,4.6431,4.6585,1.5097
0.35,3,4,6.1164,6.0849,2.3634
0.35,3,5,4.8691,4.743,1.7826
0.35,3,6,6.571,6.3175,2.1167
0.35,3,7,4.7026,4.6609,1.4518
0.35,3,8,6.0768,6.0833,2.3606
0.4,3,1,4.6431,4.7343,1.6555
0.4,3,2,6.1164,6.2999,2.0002
0.4,3,3,4.6431,4.6585,1.3912
0.4,3,4,6.1164,6.0847,2.1928
0.4,3,5,4.8691,4.7424,1.6554
0.4,3,6,6.571,6.3161,1.9739
0.4,3,7,4.7026,4.6607,1.3585
0.4,3,8,6.0768,6.0833,2.1921
0.45,3,1,4.6431,4.7346,1.4052
0.45,3,2,6.1164,6.3006,1.6924
0.45,3,3,4.6431,4.6586,1.175
0.45,3,4,6.1164,6.0846,1.8612
0.45,3,5,4.8691,4.7418,1.4048
0.45,3,6,6.571,6.3151,1.6795
0.45,3,7,4.7026,4.6605,1.1597
0.45,3,8,6.0768,6.0833,1.8604
0.5,3,1,4.6431,4.7349,1.1376
0.5,3,2,6.1164,6.3011,1.3671
0.5,3,3,4.6431,4.6586,0.94837
0.5,3,4,6.1164,6.0845,1.5068
0.5,3,5,4.8691,4.7414,1.137
0.5,3,6,6.571,6.3142,1.3613
0.5,3,7,4.7026,4.6603,0.9424
0.5,3,8,6.0768,6.0833,1.5058
0.55,3,1,4.6431,4.7351,0.90262
0.55,3,2,6.1164,6.3016,1.0832
0.55,3,3,4.6431,4.6587,0.75142
0.55,3,4,6.1164,6.0844,1.1956
0.55,3,5,4.8691,4.7411,0.90207
0.55,3,6,6.571,6.3135,1.0807
0.55,3,7,4.7026,4.6602,0.74956
0.55,3,8,6.0768,6.0833,1.1948
0.6,3,1,4.6431,4.7353,0.71335
0.6,3,2,6.1164,6.3019,0.8552
0.6,3,3,4.6431,4.6587,0.59357
0.6,3,4,6.1164,6.0843,0.94498
0.6,3,5,4.8691,4.7408,0.71296
0.6,3,6,6.571,6.3129,0.85428
0.6,3,7,4.7026,4.6601,0.5933
0.6,3,8,6.0768,6.0833,0.94442
0.65,3,1,4.6431,4.7355,0.56667
0.65,3,2,6.1164,6.3023,0.67892
0.65,3,3,4.6431,4.6587,0.47153
0.65,3,4,6.1164,6.0842,0.75073
0.65,3,5,4.8691,4.7405,0.56642
0.65,3,6,6.571,6.3124,0.67866
0.65,3,7,4.7026,4.66,0.47177
0.65,3,8,6.0768,6.0833,0.75038
0.7,3,1,4.6431,4.7356,0.45468
0.7,3,2,6.1164,6.3025,0.54452
0.7,3,3,4.6431,4.6587,0.37842
0.7,3,4,6.1164,6.0842,0.60239
0.7,3,5,4.8691,4.7403,0.45453
0.7,3,6,6.571,6.312,0.54451
0.7,3,7,4.7026,4.66,0.37875
0.7,3,8,6.0768,6.0833,0.60218
0.75,3,1,4.6431,4.7357,0.36926
0.75,3,2,6.1164,6.3028,0.44212
0.75,3,3,4.6431,4.6587,0.30741
0.75,3,4,6.1164,6.0841,0.48924
0.75,3,5,4.8691,4.7401,0.36917
0.75,3,6,6.571,6.3116,0.44219
0.75,3,7,4.7026,4.6599,0.3077
0.75,3,8,6.0768,6.0833,0.48912
0.8,3,1,4.6431,4.7358,0.30365
0.8,3,2,6.1164,6.303,0.36352
0.8,3,3,4.6431,4.6587,0.25285
0.8,3,4,6.1164,6.0841,0.40233
0.8,3,5,4.8691,4.74,0.3036
0.8,3,6,6.571,6.3113,0.36359
0.8,3,7,4.7026,4.6598,0.25306
0.8,3,8,6.0768,6.0833,0.40225
0.85,3,1,4.6431,4.7359,0.25267
0.85,3,2,6.1164,6.3032,0.30247
0.85,3,3,4.6431,4.6588,0.21045
0.85,3,4,6.1164,6.084,0.33478
0.85,3,5,4.8691,4.7398,0.25264
0.85,3,6,6.571,6.311,0.30253
0.85,3,7,4.7026,4.6598,0.21058
0.85,3,8,6.0768,6.0834,0.33474
0.9,3,1,4.6431,4.736,0.21253
0.9,3,2,6.1164,6.3033,0.25441
0.9,3,3,4.6431,4.6588,0.17704
0.9,3,4,6.1164,6.084,0.2816
0.9,3,5,4.8691,4.7397,0.21251
0.9,3,6,6.571,6.3107,0.25445
0.9,3,7,4.7026,4.6597,0.17713
0.9,3,8,6.0768,6.0834,0.28158
0.95,3,1,4.6431,4.7361,0.1805
0.95,3,2,6.1164,6.3035,0.21608
0.95,3,3,4.6431,4.6588,0.15039
0.95,3,4,6.1164,6.084,0.23917
0.95,3,5,4.8691,4.7396,0.18049
0.95,3,6,6.571,6.3105,0.2161
0.95,3,7,4.7026,4.6597,0.15044
0.95,3,8,6.0768,6.0834,0.23916
1,3,1,4.6431,4.7361,0.15464
1,3,2,6.1164,6.3036,0.18511
1,3,3,4.6431,4.6588,0.12885
1,3,4,6.1164,6.0839,0.2049
1,3,5,4.8691,4.7395,0.15463
1,3,6,6.571,6.3103,0.18513
1,3,7,4.7026,4.6597,0.12888
1,3,8,6.0768,6.0834,0.20489
1.05,3,1,4.6431,4.7362,0.13351
1.05,3,2,6.1164,6.3037,0.15982
1.05,3,3,4.6431,4.6588,0.11125
1.05,3,4,6.1164,6.0839,0.1769
1.05,3,5,4.8691,4.7394,0.13351
1.05,3,6,6.571,6.3101,0.15983
1.05,3,7,4.7026,4.6596,0.11127
1.05,3,8,6.0768,6.0834,0.1769
1.1,3,1,4.6431,4.7363,0.11607
1.1,3,2,6.1164,6.3039,0.13895
1.1,3,3,4.6431,4.6588,0.096726
1.1,3,4,6.1164,6.0839,0.1538
1.1,3,5,4.8691,4.7393,0.11607
1.1,3,6,6.571,6.3099,0.13896
1.1,3,7,4.7026,4.6596,0.096736
1.1,3,8,6.0768,6.0834,0.1538
1.15,3,1,4.6431,4.7363,0.10156
1.15,3,2,6.1164,6.304,0.12157
1.15,3,3,4.6431,4.6588,0.084631
1.15,3,4,6.1164,6.0839,0.13457
1.15,3,5,4.8691,4.7392,0.10156
1.15,3,6,6.571,6.3098,0.12158
1.15,3,7,4.7026,4.6596,0.084637
1.15,3,8,6.0768,6.0834,0.13457
1.2,3,1,4.6431,4.7364,0.089368
1.2,3,2,6.1164,6.304,0.10698
1.2,3,3,4.6431,4.6588,0.074476
1.2,3,4,6.1164,6.0838,0.11842
1.2,3,5,4.8691,4.7391,0.089368
1.2,3,6,6.571,6.3096,0.10698
1.2,3,7,4.7026,4.6595,0.074479
1.2,3,8,6.0768,6.0834,0.11842
1.25,3,1,4.6431,4.7364,0.079058
1.25,3,2,6.1164,6.3041,0.094639
1.25,3,3,4.6431,4.6588,0.065885
1.25,3,4,6.1164,6.0838,0.10476
1.25,3,5,4.8691,4.7391,0.079058
1.25,3,6,6.571,6.3095,0.09464
1.25,3,7,4.7026,4.6595,0.065886
1.25,3,8,6.0768,6.0834,0.10475
1.3,3,1,4.6431,4.7364,0.070277
1.3,3,2,6.1164,6.3042,0.084127
1.3,3,3,4.6431,4.6588,0.058567
1.3,3,4,6.1164,6.0838,0.093119
1.3,3,5,4.8691,4.739,0.070276
1.3,3,6,6.571,6.3094,0.084127
1.3,3,7,4.7026,4.6595,0.058568
1.3,3,8,6.0768,6.0834,0.093119
1.35,3,1,4.6431,4.7365,0.06275
1.35,3,2,6.1164,6.3043,0.075117
1.35,3,3,4.6431,4.6588,0.052295
1.35,3,4,6.1164,6.0838,0.083146
1.35,3,5,4.8691,4.739,0.06275
1.35,3,6,6.571,6.3093,0.075117
1.35,3,7,4.7026,4.6595,0.052295
1.35,3,8,6.0768,6.0834,0.083146
1.4,3,1,4.6431,4.7365,0.056262
1.4,3,2,6.1164,6.3044,0.06735
1.4,3,3,4.6431,4.6588,0.046888
1.4,3,4,6.1164,6.0838,0.074549
1.4,3,5,4.8691,4.7389,0.056262
1.4,3,6,6.571,6.3092,0.06735
1.4,3,7,4.7026,4.6595,0.046888
1.4,3,8,6.0768,6.0834,0.074549
1.45,3,1,4.6431,4.7365,0.050639
1.45,3,2,6.1164,6.3044,0.060618
1.45,3,3,4.6431,4.6588,0.042202
1.45,3,4,6.1164,6.0838,0.067098
1.45,3,5,4.8691,4.7388,0.050639
1.45,3,6,6.571,6.3091,0.060618
1.45,3,7,4.7026,4.6594,0.042202
1.45,3,8,6.0768,6.0834,0.067098
1.5,3,1,4.6431,4.7366,0.045741
1.5,3,2,6.1164,6.3045,0.054755
1.5,3,3,4.6431,4.6588,0.03812
1.5,3,4,6.1164,6.0838,0.060608
1.5,3,5,4.8691,4.7388,0.045741
1.5,3,6,6.571,6.309,0.054755
1.5,3,7,4.7026,4.6594,0.03812
1.5,3,8,6.0768,6.0834,0.060608
1.55,3,1,4.6431,4.7366,0.041455
1.55,3,2,6.1164,6.3045,0.049624
1.55,3,3,4.6431,4.6588,0.034548
1.55,3,4,6.1164,6.0837,0.054929
1.55,3,5,4.8691,4.7388,0.041455
1.55,3,6,6.571,6.3089,0.049625
1.55,3,7,4.7026,4.6594,0.034548
1.55,3,8,6.0768,6.0834,0.054929
1.6,3,1,4.6431,4.7366,0.037688
1.6,3,2,6.1164,6.3046,0.045116
1.6,3,3,4.6431,4.6588,0.031409
1.6,3,4,6.1164,6.0837,0.049938
1.6,3,5,4.8691,4.7387,0.037688
1.6,3,6,6.571,6.3088,0.045116
1.6,3,7,4.7026,4.6594,0.031409
1.6,3,8,6.0768,6.0834,0.049938
1.65,3,1,4.6431,4.7367,0.034364
1.65,3,2,6.1164,6.3046,0.041137
1.65,3,3,4.6431,4.6588,0.028639
1.65,3,4,6.1164,6.0837,0.045534
1.65,3,5,4.8691,4.7387,0.034364
1.65,3,6,6.571,6.3087,0.041137
1.65,3,7,4.7026,4.6594,0.028639
1.65,3,8,6.0768,6.0834,0.045534
1.7,3,1,4.6431,4.7367,0.03142
1.7,3,2,6.1164,6.3047,0.037613
1.7,3,3,4.6431,4.6589,0.026186
1.7,3,4,6.1164,6.0837,0.041633
1.7,3,5,4.8691,4.7386,0.03142
1.7,3,6,6.571,6.3086,0.037613
1.7,3,7,4.7026,4.6594,0.026186
1.7,3,8,6.0768,6.0834,0.041633
1.75,3,1,4.6431,4.7367,0.028803
1.75,3,2,6.1164,6.3047,0.03448
1.75,3,3,4.6431,4.6589,0.024004
1.75,3,4,6.1164,6.0837,0.038165
1.75,3,5,4.8691,4.7386,0.028803
1.75,3,6,6.571,6.3086,0.03448
1.75,3,7,4.7026,4.6594,0.024004
1.75,3,8,6.0768,6.0834,0.038165
1.8,3,1,4.6431,4.7367,0.026469
1.8,3,2,6.1164,6.3048,0.031685
1.8,3,3,4.6431,4.6589,0.022059
1.8,3,4,6.1164,6.0837,0.035072
1.8,3,5,4.8691,4.7386,0.026469
1.8,3,6,6.571,6.3085,0.031685
1.8,3,7,4.7026,4.6593,0.022059
1.8,3,8,6.0768,6.0834,0.035072
1.85,3,1,4.6431,4.7367,0.02438
1.85,3,2,6.1164,6.3048,0.029185
1.85,3,3,4.6431,4.6589,0.020318
1.85,3,4,6.1164,6.0837,0.032305
1.85,3,5,4.8691,4.7385,0.02438
1.85,3,6,6.571,6.3084,0.029185
1.85,3,7,4.7026,4.6593,0.020318
1.85,3,8,6.0768,6.0834,0.032305
1.9,3,1,4.6431,4.7368,0.022506
1.9,3,2,6.1164,6.3048,0.026941
1.9,3,3,4.6431,4.6589,0.018756
1.9,3,4,6.1164,6.0837,0.029821
1.9,3,5,4.8691,4.7385,0.022506
1.9,3,6,6.571,6.3084,0.026941
1.9,3,7,4.7026,4.6593,0.018756
1.9,3,8,6.0768,6.0834,0.029821
1.95,3,1,4.6431,4.7368,0.020818
1.95,3,2,6.1164,6.3049,0.024921
1.95,3,3,4.6431,4.6589,0.01735
1.95,3,4,6.1164,6.0837,0.027585
1.95,3,5,4.8691,4.7385,0.020818
1.95,3,6,6.571,6.3083,0.024921
1.95,3,7,4.7026,4.6593,0.01735
1.95,3,8,6.0768,6.0834,0.027585
2,3,1,4.6431,4.7368,0.019296
2,3,2,6.1164,6.3049,0.023098
2,3,3,4.6431,4.6589,0.016081
2,3,4,6.1164,6.0837,0.025568
2,3,5,4.8691,4.7385,0.019296
2,3,6,6.571,6.3083,0.023098
2,3,7,4.7026,4.6593,0.016081
2,3,8,6.0768,6.0834,0.025568
0.3,3.5,1,5.1523,5.2453,1.7325
0.3,3.5,2,6.6335,6.8209,2.1148
0.3,3.5,3,5.1523,5.1644,1.479
0.3,3.5,4,6.6335,6.599,2.2971
0.3,3.5,5,5.3843,5.2562,1.7269
0.3,3.5,6,7.1018,6.8428,2.0376
0.3,3.5,7,5.2049,5.1669,1.3945
0.3,3.5,8,6.5873,6.5968,2.2869
0.35,3.5,1,5.1523,5.2459,1.8576
0.35,3.5,2,6.6335,6.822,2.2544
0.35,3.5,3,5.1523,5.1645,1.5722
0.35,3.5,4,6.6335,6.5987,2.4612
0.35,3.5,5,5.3843,5.2553,1.8564
0.35,3.5,6,7.1018,6.841,2.2043
0.35,3.5,7,5.2049,5.1666,1.5119
0.35,3.5,8,6.5873,6.5968,2.4583
0.4,3.5,1,5.1523,5.2463,1.724
0.4,3.5,2,6.6335,6.8229,2.083
0.4,3.5,3,5.1523,5.1645,1.4488
0.4,3.5,4,6.6335,6.5985,2.2836
0.4,3.5,5,5.3843,5.2546,1.7239
0.4,3.5,6,7.1018,6.8396,2.0556
0.4,3.5,7,5.2049,5.1664,1.4147
0.4,3.5,8,6.5873,6.5968,2.2829
0.45,3.5,1,5.1523,5.2467,1.4633
0.45,3.5,2,6.6335,6.8236,1.7624
0.45,3.5,3,5.1523,5.1645,1.2236
0.45,3.5,4,6.6335,6.5983,1.9382
0.45,3.5,5,5.3843,5.2541,1.463
0.45,3.5,6,7.1018,6.8385,1.749
0.45,3.5,7,5.2049,5.1662,1.2077
0.45,3.5,8,6.5873,6.5969,1.9374
0.5,3.5,1,5.1523,5.247,1.1847
0.5,3.5,2,6.6335,6.8242,1.4237
0.5,3.5,3,5.1523,5.1646,0.98762
0.5,3.5,4,6.6335,6.5982,1.5691
0.5,3.5,5,5.3843,5.2537,1.184
0.5,3.5,6,7.1018,6.8377,1.4176
0.5,3.5,7,5.2049,5.1661,0.98141
0.5,3.5,8,6.5873,6.5969,1.5681
0.55,3.5,1,5.1523,5.2472,0.93998
0.55,3.5,2,6.6335,6.8246,1.128
0.55,3.5,3,5.1523,5.1646,0.78252
0.55,3.5,4,6.6335,6.5981,1.2451
0.55,3.5,5,5.3843,5.2533,0.93941
0.55,3.5,6,7.1018,6.8369,1.1254
0.55,3.5,7,5.2049,5.166,0.78058
0.55,3.5,8,6.5873,6.5969,1.2443
0.6,3.5,1,5.1523,5.2474,0.74287
0.6,3.5,2,6.6335,6.825,0.8906
0.6,3.5,3,5.1523,5.1646,0.61814
0.6,3.5,4,6.6335,6.598,0.9841
0.6,3.5,5,5.3843,5.253,0.74247
0.6,3.5,6,7.1018,6.8363,0.88964
0.6,3.5,7,5.2049,5.1659,0.61786
0.6,3.5,8,6.5873,6.5969,0.98351
0.65,3.5,1,5.1523,5.2476,0.59013
0.65,3.5,2,6.6335,6.8253,0.70702
0.65,3.5,3,5.1523,5.1646,0.49104
0.65,3.5,4,6.6335,6.598,0.7818
0.65,3.5,5,5.3843,5.2527,0.58987
0.65,3.5,6,7.1018,6.8358,0.70675
0.65,3.5,7,5.2049,5.1658,0.49129
0.65,3.5,8,6.5873,6.5969,0.78143
0.7,3.5,1,5.1523,5.2477,0.4735
0.7,3.5,2,6.6335,6.8256,0.56705
0.7,3.5,3,5.1523,5.1646,0.39408
0.7,3.5,4,6.6335,6.5979,0.62732
0.7,3.5,5,5.3843,5.2525,0.47334
0.7,3.5,6,7.1018,6.8354,0.56705
0.7,3.5,7,5.2049,5.1657,0.39443
0.7,3.5,8,6.5873,6.5969,0.6271
0.75,3.5,1,5.1523,5.2478,0.38454
0.75,3.5,2,6.6335,6.8259,0.46042
0.75,3.5,3,5.1523,5.1646,0.32013
0.75,3.5,4,6.6335,6.5978,0.50949
0.75,3.5,5,5.3843,5.2523,0.38445
