move_dur,added_mass,target,eff_mass,eff_mass_mean,sum_t2
1.05,0,3,1.471,1.6045,0.033797
1.05,0,4,2.7508,2.7909,0.053742
1.05,0,5,1.4715,1.4507,0.040558
1.05,0,6,2.9025,2.8073,0.048555
1.05,0,7,1.7619,1.6086,0.033802
1.05,0,8,2.8505,2.7923,0.05374
1.1,0,1,1.471,1.4507,0.035262
1.1,0,2,2.7508,2.8052,0.042212
1.1,0,3,1.471,1.6046,0.029385
1.1,0,4,2.7508,2.7909,0.046724
1.1,0,5,1.4715,1.4507,0.035262
1.1,0,6,2.9025,2.8073,0.042214
1.1,0,7,1.7619,1.6085,0.029388
1.1,0,8,2.8505,2.7922,0.046723
1.15,0,1,1.471,1.4507,0.030852
1.15,0,2,2.7508,2.8053,0.036933
1.15,0,3,1.471,1.6047,0.02571
1.15,0,4,2.7508,2.7909,0.04088
1.15,0,5,1.4715,1.4507,0.030852
1.15,0,6,2.9025,2.8072,0.036934
1.15,0,7,1.7619,1.6084,0.025712
1.15,0,8,2.8505,2.7922,0.04088
1.2,0,1,1.471,1.4507,0.027149
1.2,0,2,2.7508,2.8053,0.0325
1.2,0,3,1.471,1.6047,0.022625
1.2,0,4,2.7508,2.7909,0.035974
1.2,0,5,1.4715,1.4507,0.027149
1.2,0,6,2.9025,2.8072,0.032501
1.2,0,7,1.7619,1.6083,0.022626
1.2,0,8,2.8505,2.7922,0.035974
1.25,0,1,1.471,1.4507,0.024017
1.25,0,2,2.7508,2.8053,0.02875
1.25,0,3,1.471,1.6048,0.020015
1.25,0,4,2.7508,2.7909,0.031824
1.25,0,5,1.4715,1.4507,0.024017
1.25,0,6,2.9025,2.8071,0.028751
1.25,0,7,1.7619,1.6082,0.020016
1.25,0,8,2.8505,2.7921,0.031824
1.3,0,1,1.471,1.4507,0.021349
1.3,0,2,2.7508,2.8053,0.025557
1.3,0,3,1.471,1.6049,0.017792
1.3,0,4,2.7508,2.791,0.028289
1.3,0,5,1.4715,1.4507,0.021349
1.3,0,6,2.9025,2.8071,0.025557
1.3,0,7,1.7619,1.6082,0.017792
1.3,0,8,2.8505,2.7921,0.028289
1.35,0,1,1.471,1.4506,0.019063
1.35,0,2,2.7508,2.8054,0.02282
1.35,0,3,1.471,1.6049,0.015887
1.35,0,4,2.7508,2.791,0.025259
1.35,0,5,1.4715,1.4507,0.019063
1.35,0,6,2.9025,2.807,0.02282
1.35,0,7,1.7619,1.6081,0.015887
1.35,0,8,2.8505,2.7921,0.025259
1.4,0,1,1.471,1.4506,0.017092
1.4,0,2,2.7508,2.8054,0.02046
1.4,0,3,1.471,1.605,0.014244
1.4,0,4,2.7508,2.791,0.022647
1.4,0,5,1.4715,1.4506,0.017092
1.4,0,6,2.9025,2.807,0.02046
1.4,0,7,1.7619,1.608,0.014244
1.4,0,8,2.8505,2.792,0.022647
1.45,0,1,1.471,1.4506,0.015384
1.45,0,2,2.7508,2.8054,0.018415
1.45,0,3,1.471,1.605,0.01282
1.45,0,4,2.7508,2.791,0.020384
1.45,0,5,1.4715,1.4506,0.015384
1.45,0,6,2.9025,2.8069,0.018415
1.45,0,7,1.7619,1.608,0.012821
1.45,0,8,2.8505,2.792,0.020384
1.5,0,1,1.471,1.4506,0.013896
1.5,0,2,2.7508,2.8054,0.016634
1.5,0,3,1.471,1.6051,0.01158
1.5,0,4,2.7508,2.791,0.018412
1.5,0,5,1.4715,1.4506,0.013896
1.5,0,6,2.9025,2.8069,0.016634
1.5,0,7,1.7619,1.6079,0.01158
1.5,0,8,2.8505,2.792,0.018412
1.55,0,1,1.471,1.4506,0.012594
